Name,Age,Cause
Benjamin D. Morgan,37.0,Gunfire
Cyrus Oscar Thomas,40.0,Gunfire
Robert H. Clift,35.0,Gunfire
Thomas Echols Rodgers,27.0,Gunfire
Charles Edward Buck,42.0,Gunfire
Thomas J. Seehorn,37.0,Other
Asa W. Furness,34.0,Gunfire
Volney Turner,50.0,Gunfire
William Brady,48.0,Gunfire
William H. Anderson,38.0,Gunfire
Jack Kimbrew,34.0,Gunfire
Abner Dement,30.0,Gunfire
"Timothy J. ""Tim"" McCarty",27.0,Gunfire
John Thompson,40.0,Other
Martin Kunkel,32.0,Gunfire
Rufus Springs,24.0,Gunfire
Henry Vincents,40.0,Gunfire
Cornelius Finley,49.0,Gunfire
Enoch T. Hopkins,54.0,Gunfire
Benjamin W. Ayers,31.0,Other
Lewis Cooper,52.0,Gunfire
George Washington Rockwell,35.0,Gunfire
Augustus Harris,33.0,Gunfire
John Cyrille Fillion,50.0,Other
A. G. Hall,26.0,Gunfire
Robert W. Beckwith,28.0,Gunfire
Albert Race,25.0,Gunfire
John Dwyer,44.0,Other
Nelson Heuston,56.0,Gunfire
John Harlow,32.0,Gunfire
Frank W. Venable,26.0,Gunfire
James Lewis Young,41.0,Gunfire
George M. Doolittle,28.0,Gunfire
Samuel Bucher,55.0,Gunfire
A. Harvey Mize,27.0,Gunfire
Lewis M. Chew,37.0,Gunfire
William Cole,23.0,Gunfire
Henry C. Culver,46.0,Gunfire
C. R. V. Schefsky,40.0,Other
Kirkland C. Ayers,29.0,Other
James Kirby,40.0,Other
William R. Plummer,65.0,Other
James P. Robbins,43.0,Other
Rufus H. Day,40.0,Gunfire
"Frank ""Franz"" Lindenberg",37.0,Gunfire
Samuel Leming,44.0,Gunfire
Hardin Harvey Vicory,36.0,Gunfire
"James B. ""Jim"" Wiggins",32.0,Gunfire
Charlie A. Batts,17.0,Other
Samuel Page,43.0,Other
John T. Ross,29.0,Gunfire
Humphrey Symons,35.0,Gunfire
